Social	Subject	blocks-to-Action	blocks-to-LTM	blocks-to-Perception	blocks-to-Procedural	blocks-to-WM	social-to-Action	social-to-LTM	social-to-Perception	social-to-Procedural	social-to-WM
Social	135932	0.000000	0.000000	0.476501	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025858
Social	136227	0.000000	0.000000	0.064729	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000603
Social	136833	0.000000	0.000000	0.162293	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020934
Social	137027	0.000000	0.000000	0.029679	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001850
Social	137128	0.000000	0.000000	0.144931	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.041384
Social	137633	0.000000	0.000000	0.311772	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.054300
Social	137936	0.000000	0.000000	0.028061	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024325
Social	138231	0.000000	0.000000	0.326319	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048020
Social	138534	0.000000	0.000000	0.179773	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048858
Social	139233	0.000000	0.000000	0.239380	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027712
Social	139637	0.000000	0.000000	0.271372	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015190
Social	140117	0.000000	0.000000	0.333244	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.228676
Social	140420	0.000000	0.000000	0.210949	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.195696
Social	140824	0.000000	0.000000	0.071571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050840
Social	140925	0.000000	0.000000	0.075772	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012868
Social	141422	0.000000	0.000000	0.338081	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030609
Social	141826	0.000000	0.000000	0.145345	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.011911
Social	142828	0.000000	0.000000	0.036484	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005535
Social	143325	0.000000	0.000000	0.012092	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.085247
Social	144226	0.000000	0.000000	0.145130	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002934
Social	144832	0.000000	0.000000	0.174330	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.051938
Social	145834	0.000000	0.000000	0.236614	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.191998
Social	146331	0.000000	0.000000	0.033510	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004619
Social	146432	0.000000	0.000000	0.110011	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.066865
Social	147030	0.000000	0.000000	0.430172	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.090893
Social	147737	0.000000	0.000000	0.191786	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.073063
Social	148032	0.000000	0.000000	0.223522	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050605
Social	148335	0.000000	0.000000	0.277794	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.021242
Social	148840	0.000000	0.000000	0.739017	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.153712
Social	148941	0.000000	0.000000	0.385478	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048325
Social	149337	0.000000	0.000000	0.040933	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.075534
Social	149539	0.000000	0.000000	0.218567	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.011176
Social	149741	0.000000	0.000000	0.099374	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.068438
Social	150423	0.000000	0.000000	0.128873	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021421
Social	150524	0.000000	0.000000	0.355770	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.020979
Social	150625	0.000000	0.000000	0.105380	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000804
Social	150726	0.000000	0.000000	0.477797	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.085798
Social	151223	0.000000	0.000000	0.296703	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004182
Social	151526	0.000000	0.000000	0.063355	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030661
Social	151627	0.000000	0.000000	0.511510	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005042
Social	151728	0.000000	0.000000	0.359409	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028481
Social	152831	0.000000	0.000000	0.292457	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.137632
Social	153025	0.000000	0.000000	0.078679	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.080971
Social	153429	0.000000	0.000000	0.320299	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.148671
Social	153833	0.000000	0.000000	0.160620	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.016298
Social	154431	0.000000	0.000000	0.232882	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005436
Social	154734	0.000000	0.000000	0.282629	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.099083
Social	154835	0.000000	0.000000	0.212968	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092257
Social	154936	0.000000	0.000000	0.117571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.011861
Social	155231	0.000000	0.000000	0.315713	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.015312
Social	155635	0.000000	0.000000	0.979055	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005479
Social	156233	0.000000	0.000000	0.027939	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000689
Social	156637	0.000000	0.000000	0.101629	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.049645
Social	157336	0.000000	0.000000	0.327889	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.059586
