Model	From	To	Link
Hierarchical 3	Perception	Perception	1
Hierarchical 3	Perception	Procedural	0
Hierarchical 3	Perception	WM	0
Hierarchical 3	Procedural	Action	1
Hierarchical 3	Procedural	LTM	0
Hierarchical 3	Procedural	Perception	0
Hierarchical 3	Procedural	Procedural	1
Hierarchical 3	Procedural	WM	1
Hierarchical 3	WM	Action	0
Hierarchical 3	WM	LTM	1
Hierarchical 3	WM	Perception	0
Hierarchical 3	WM	Procedural	1
Hierarchical 3	WM	WM	1
