122620,WM,257,0
123117,Action,45,0
123117,LTM,242,0
123117,Perception,137,5
123117,Procedural,123,0
123117,WM,257,0
123420,Action,250,146
123420,LTM,253,0
123420,Perception,126,0
123420,Procedural,123,0
123420,WM,257,16
123925,Action,216,62
123925,LTM,227,0
123925,Perception,248,39
123925,Procedural,123,0
123925,WM,256,0
124220,Action,255,0
124220,LTM,228,0
124220,Perception,242,174
124220,Procedural,115,0
124220,WM,182,0
124422,Action,250,76
124422,LTM,202,0
124422,Perception,120,71
124422,Procedural,94,0
124422,WM,256,0
124826,Action,247,110
124826,LTM,206,0
124826,Perception,197,89
124826,Procedural,123,0
124826,WM,240,0
125525,Action,257,160
125525,LTM,122,0
125525,Perception,206,8
125525,Procedural,118,0
125525,WM,253,0
126325,Action,253,0
126325,LTM,225,0
126325,Perception,126,57
126325,Procedural,114,0
126325,WM,161,0
126628,Action,104,0
126628,LTM,249,0
126628,Perception,235,193
126628,Procedural,118,0
126628,WM,158,0
127630,Action,155,0
127630,LTM,248,0
127630,Perception,257,173
127630,Procedural,75,0
127630,WM,257,0
127933,Action,170,16
127933,LTM,210,0
127933,Perception,248,108
127933,Procedural,123,0
127933,WM,208,0
128127,Action,129,83
128127,LTM,252,0
128127,Perception,221,62
128127,Procedural,106,0
128127,WM,124,0
128632,Action,257,55
128632,LTM,134,0
128632,Perception,132,58
128632,Procedural,123,0
128632,WM,223,0
129028,Action,257,150
129028,LTM,235,0
129028,Perception,191,62
129028,Procedural,110,0
129028,WM,220,0
130013,Action,156,7
130013,LTM,230,0
130013,Perception,221,180
130013,Procedural,123,0
130013,WM,257,0
130316,Action,119,30
130316,LTM,137,0
130316,Perception,215,158
130316,Procedural,96,0
130316,WM,252,0
130922,Action,257,128
130922,LTM,250,0
130922,Perception,185,107
130922,Procedural,122,0
130922,WM,245,0
131217,Action,257,0
131217,LTM,254,0
131217,Perception,257,7
131217,Procedural,123,0
131217,WM,242,0
131722,Action,205,0
131722,LTM,123,0
131722,Perception,146,65
131722,Procedural,119,0
131722,WM,247,0
131924,Action,256,113
131924,LTM,249,0
131924,Perception,230,84
131924,Procedural,110,0
131924,WM,194,0
133019,Action,125,70
133019,LTM,247,0
133019,Perception,214,107
133019,Procedural,123,0
133019,WM,257,0
133625,Action,244,0
133625,LTM,228,0
133625,Perception,217,142
133625,Procedural,101,0
133625,WM,257,0
133827,Action,257,0
133827,LTM,156,0
133827,Perception,257,3
133827,Procedural,123,0
133827,WM,256,0
133928,Action,39,0
133928,LTM,135,0
133928,Perception,127,55
133928,Procedural,38,0
133928,WM,245,0
134324,Action,245,0
134324,LTM,147,0
134324,Perception,256,31
134324,Procedural,123,0
134324,WM,257,0
135225,Action,205,150
135225,LTM,255,0
135225,Perception,195,71
135225,Procedural,118,0
135225,WM,256,0
135528,Action,246,60
135528,LTM,176,0
135528,Perception,257,159
135528,Procedural,67,0
135528,WM,201,0
135932,Action,249,37
135932,LTM,165,0
135932,Perception,141,104
135932,Procedural,15,0
135932,WM,257,0
136227,Action,256,191
136227,LTM,256,0
136227,Perception,158,122
136227,Procedural,74,0
136227,WM,234,0
136833,Action,257,128
136833,LTM,245,0
136833,Perception,233,186
136833,Procedural,114,0
136833,WM,38,0
137027,Action,257,214
137027,LTM,257,0
137027,Perception,153,1
137027,Procedural,106,0
137027,WM,179,0
137128,Action,139,120
137128,LTM,164,0
137128,Perception,208,35
137128,Procedural,98,0
137128,WM,257,0
137633,Action,256,184
137633,LTM,188,0
137633,Perception,146,79
137633,Procedural,104,0
137633,WM,257,0
137936,Action,249,50
137936,LTM,96,0
137936,Perception,257,39
137936,Procedural,110,0
137936,WM,183,0
138231,Action,205,54
138231,LTM,112,0
138231,Perception,255,184
138231,Procedural,120,0
138231,WM,241,0
138534,Action,221,147
138534,LTM,211,0
138534,Perception,225,157
138534,Procedural,120,0
138534,WM,257,0
139233,Action,213,31
139233,LTM,148,0
139233,Perception,255,194
139233,Procedural,91,0
139233,WM,255,0
139637,Action,249,41
139637,LTM,251,0
139637,Perception,249,66
139637,Procedural,44,0
139637,WM,252,0
140117,Action,205,67
140117,LTM,248,0
140117,Perception,155,153
140117,Procedural,90,0
140117,WM,149,0
140420,Action,174,17
140420,LTM,238,0
140420,Perception,149,86
140420,Procedural,123,0
140420,WM,158,0
140824,Action,257,19
140824,LTM,131,0
140824,Perception,249,187
140824,Procedural,49,0
140824,WM,257,0
140925,Action,255,115
140925,LTM,257,0
140925,Perception,92,17
140925,Procedural,121,0
140925,WM,228,0
141422,Action,92,44
141422,LTM,147,0
141422,Perception,257,199
141422,Procedural,74,0
141422,WM,257,0
141826,Action,224,92
141826,LTM,238,0
141826,Perception,148,27
141826,Procedural,73,0
141826,WM,256,0
142828,Action,252,54
142828,LTM,126,0
142828,Perception,190,89
142828,Procedural,118,0
142828,WM,254,0
143325,Action,119,0
143325,LTM,199,0
143325,Perception,169,120
143325,Procedural,101,0
143325,WM,257,0
144832,Action,221,130
144832,LTM,231,0
144832,Perception,204,88
144832,Procedural,90,0
144832,WM,221,0
145834,Action,257,5
145834,LTM,225,0
145834,Perception,191,14
145834,Procedural,115,0
145834,WM,257,0
146331,Action,257,28
146331,LTM,76,0
146331,Perception,250,45
146331,Procedural,119,0
146331,WM,170,0
146432,Action,228,216
146432,LTM,256,0
146432,Perception,171,66
146432,Procedural,63,0
146432,WM,257,0
147030,Action,221,140
147030,LTM,83,0
147030,Perception,257,39
147030,Procedural,101,0
147030,WM,234,0
147737,Action,210,101
147737,LTM,190,0
147737,Perception,220,25
147737,Procedural,123,0
147737,WM,257,0
148032,Action,257,1
148032,LTM,102,0
148032,Perception,257,0
148032,Procedural,88,0
148032,WM,202,0
148335,Action,227,94
148335,LTM,199,0
148335,Perception,234,25
148335,Procedural,123,0
148335,WM,229,0
148840,Action,166,10
148840,LTM,229,0
148840,Perception,162,30
148840,Procedural,117,0
148840,WM,218,0
148941,Action,248,158
148941,LTM,253,0
148941,Perception,192,24
148941,Procedural,104,0
148941,WM,173,0
149337,Action,257,97
149337,LTM,187,0
149337,Perception,167,7
149337,Procedural,111,0
149337,WM,257,1
149539,Action,210,139
149539,LTM,149,0
149539,Perception,192,44
149539,Procedural,97,0
149539,WM,236,0
149741,Action,130,15
149741,LTM,166,0
149741,Perception,257,133
149741,Procedural,110,0
149741,WM,257,0
150423,Action,206,160
150423,LTM,180,0
150423,Perception,180,104
150423,Procedural,122,0
150423,WM,236,0
150524,Action,242,0
150524,LTM,214,0
150524,Perception,242,32
150524,Procedural,87,0
150524,WM,227,0
150625,Action,256,10
150625,LTM,256,0
150625,Perception,127,65
150625,Procedural,120,0
150625,WM,257,0
150726,Action,256,41
150726,LTM,257,0
150726,Perception,248,119
150726,Procedural,64,0
150726,WM,47,0
151223,Action,181,1
151223,LTM,107,0
151223,Perception,240,25
151223,Procedural,99,0
151223,WM,257,0
151526,Action,257,43
151526,LTM,108,0
151526,Perception,256,154
151526,Procedural,109,0
151526,WM,254,0
151627,Action,249,120
151627,LTM,130,0
151627,Perception,229,185
151627,Procedural,120,0
151627,WM,182,0
151728,Action,239,12
151728,LTM,196,0
151728,Perception,246,124
151728,Procedural,123,0
151728,WM,59,0
152831,Action,257,185
152831,LTM,243,0
152831,Perception,257,30
152831,Procedural,123,0
152831,WM,228,0
153025,Action,256,0
153025,LTM,257,0
153025,Perception,139,33
153025,Procedural,119,0
153025,WM,257,0
153429,Action,247,149
153429,LTM,157,0
153429,Perception,108,39
153429,Procedural,44,0
153429,WM,257,0
153833,Action,247,2
153833,LTM,245,0
153833,Perception,224,29
153833,Procedural,48,0
153833,WM,245,0
154431,Action,253,83
154431,LTM,231,0
154431,Perception,152,11
154431,Procedural,107,0
154431,WM,195,0
154734,Action,228,41
154734,LTM,232,0
154734,Perception,255,178
154734,Procedural,112,0
154734,WM,68,0
154835,Action,154,25
154835,LTM,180,0
154835,Perception,216,20
154835,Procedural,75,0
154835,WM,254,0
154936,Action,255,164
154936,LTM,246,0
154936,Perception,257,147
154936,Procedural,123,0
154936,WM,237,0
155231,Action,254,189
155231,LTM,183,0
155231,Perception,230,168
155231,Procedural,119,0
155231,WM,255,0
155635,Action,257,17
155635,LTM,231,0
155635,Perception,184,122
155635,Procedural,119,0
155635,WM,250,0
156233,Action,225,157
156233,LTM,232,0
156233,Perception,133,64
156233,Procedural,123,0
156233,WM,257,0
156637,Action,252,152
156637,LTM,249,0
156637,Perception,236,95
156637,Procedural,105,0
156637,WM,192,0
157336,Action,154,97
157336,LTM,153,0
157336,Perception,206,35
157336,Procedural,65,0
157336,WM,239,0
157437,Action,245,39
157437,LTM,32,0
157437,Perception,257,108
157437,Procedural,123,0
157437,WM,200,0
158035,Action,257,110
158035,LTM,177,0
158035,Perception,257,9
158035,Procedural,123,0
158035,WM,238,0
158136,Action,131,26
158136,LTM,207,0
158136,Perception,116,63
158136,Procedural,123,0
158136,WM,251,0
158540,Action,231,43
158540,LTM,257,0
158540,Perception,177,1
158540,Procedural,109,0
158540,WM,238,0
159138,Action,126,85
159138,LTM,151,0
159138,Perception,173,41
159138,Procedural,123,0
159138,WM,250,0
159239,Action,257,0
159239,LTM,235,0
159239,Perception,254,32
159239,Procedural,39,0
159239,WM,257,0
159340,Action,255,82
159340,LTM,255,0
159340,Perception,257,154
159340,Procedural,122,0
159340,WM,215,0
159441,Action,232,52
159441,LTM,257,0
159441,Perception,141,33
159441,Procedural,123,0
159441,WM,252,0
160123,Action,251,120
160123,LTM,250,0
160123,Perception,211,52
160123,Procedural,121,0
160123,WM,180,0
160830,Action,251,2
160830,LTM,256,0
160830,Perception,158,28
160830,Procedural,56,0
160830,WM,246,0
161327,Action,123,1
161327,LTM,251,0
161327,Perception,249,12
161327,Procedural,120,0
161327,WM,255,0
161630,Action,236,148
161630,LTM,223,0
161630,Perception,197,120
161630,Procedural,123,0
161630,WM,249,0
161731,Action,234,103
161731,LTM,163,0
161731,Perception,138,21
