Relational	Subject	allstim-to-Action	allstim-to-LTM	allstim-to-Perception	allstim-to-Procedural	allstim-to-WM	rel-to-Action	rel-to-LTM	rel-to-Perception	rel-to-Procedural	rel-to-WM
Relational	100307	0.000000	0.000000	1.218316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.085620
Relational	100408	0.000000	0.000000	0.781421	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.015104
Relational	101006	0.000000	0.000000	0.061030	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016211
Relational	101107	0.000000	0.000000	0.336112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.025363
Relational	101309	0.000000	0.000000	0.355168	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021062
Relational	101410	0.000000	0.000000	0.283864	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009728
Relational	101915	0.000000	0.000000	1.463736	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.050000
Relational	102008	0.000000	0.000000	0.814474	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.096798
Relational	102311	0.000000	0.000000	0.807607	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.088250
Relational	102816	0.000000	0.000000	0.066003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002402
Relational	103111	0.000000	0.000000	0.388880	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001274
Relational	103414	0.000000	0.000000	0.666897	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.260689
Relational	103515	0.000000	0.000000	0.554590	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.021319
Relational	103818	0.000000	0.000000	0.410428	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011307
Relational	104820	0.000000	0.000000	1.059505	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007405
Relational	105014	0.000000	0.000000	1.364959	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004300
Relational	105115	0.000000	0.000000	0.622759	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.104525
Relational	105216	0.000000	0.000000	0.961360	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.101400
Relational	106016	0.000000	0.000000	0.438791	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.173960
Relational	106319	0.000000	0.000000	1.204944	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.131366
Relational	106521	0.000000	0.000000	0.032198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008197
Relational	107321	0.000000	0.000000	1.026493	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007992
Relational	107422	0.000000	0.000000	0.698565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.006901
Relational	108121	0.000000	0.000000	0.646705	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.027449
Relational	108323	0.000000	0.000000	0.317453	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.088551
Relational	108525	0.000000	0.000000	-0.039416	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.010146
Relational	108828	0.000000	0.000000	0.400529	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002368
Relational	109123	0.000000	0.000000	0.543892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.033132
Relational	109325	0.000000	0.000000	0.924307	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011794
Relational	110411	0.000000	0.000000	0.746219	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030947
Relational	111312	0.000000	0.000000	1.098263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.079195
Relational	111413	0.000000	0.000000	0.812250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.047707
Relational	111716	0.000000	0.000000	1.536672	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.035472
Relational	113215	0.000000	0.000000	1.393995	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.063211
Relational	113619	0.000000	0.000000	1.104931	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015365
Relational	113922	0.000000	0.000000	0.253693	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007615
Relational	114419	0.000000	0.000000	1.000303	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009886
Relational	114924	0.000000	0.000000	-0.000116	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003281
Relational	115320	0.000000	0.000000	1.105517	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.062855
Relational	116524	0.000000	0.000000	0.198654	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005305
Relational	117122	0.000000	0.000000	0.666400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.022704
Relational	117324	0.000000	0.000000	0.646005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000973
Relational	118528	0.000000	0.000000	0.975893	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005607
Relational	118730	0.000000	0.000000	0.784961	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.046680
Relational	118932	0.000000	0.000000	0.329107	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.062990
Relational	119833	0.000000	0.000000	0.352016	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.018556
Relational	120111	0.000000	0.000000	0.889763	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011167
Relational	120212	0.000000	0.000000	1.170196	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.014184
Relational	120515	0.000000	0.000000	1.135187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010582
Relational	121618	0.000000	0.000000	0.446364	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.036417
Relational	122317	0.000000	0.000000	0.845226	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006994
Relational	122620	0.000000	0.000000	1.182368	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025886
Relational	123117	0.000000	0.000000	0.864038	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030299
