Subject	blocks-to-Action	blocks-to-LTM	blocks-to-Perception	blocks-to-Procedural	blocks-to-WM	faces-to-Action	faces-to-LTM	faces-to-Perception	faces-to-Procedural	faces-to-WM	
108828	0.000000	0.000000	0.160683	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.038368	
109123	0.000000	0.000000	0.356333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.081320	
109325	0.000000	0.000000	0.236836	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002502	
110411	0.000000	0.000000	0.124537	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.124900	
111312	0.000000	0.000000	0.453341	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.322942	
111413	0.000000	0.000000	0.726003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.065492	
111716	0.000000	0.000000	0.412363	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.108904	
113215	0.000000	0.000000	0.065381	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.237173	
113619	0.000000	0.000000	0.185521	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.136391	
113922	0.000000	0.000000	-0.158918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.198170	
114419	0.000000	0.000000	0.026779	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004630	
114924	0.000000	0.000000	-0.006617	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.116028	
115320	0.000000	0.000000	0.138705	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.119101	
116524	0.000000	0.000000	-0.014204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028342	
117122	0.000000	0.000000	0.188527	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.200626	
117324	0.000000	0.000000	0.018924	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.007416	
118528	0.000000	0.000000	0.032843	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011670	
118730	0.000000	0.000000	0.055459	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.128960	
118932	0.000000	0.000000	-0.190097	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.271245	
119833	0.000000	0.000000	-0.105178	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.092951	
120111	0.000000	0.000000	0.197518	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.099885	
120212	0.000000	0.000000	0.306446	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.013999	
120515	0.000000	0.000000	0.192851	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.126696	
121618	0.000000	0.000000	0.291692	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.098682	
122317	0.000000	0.000000	-0.087830	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.258715	
122620	0.000000	0.000000	-0.035634	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.152480	
123117	0.000000	0.000000	0.081513	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.145387	
123420	0.000000	0.000000	0.313186	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003664	
123925	0.000000	0.000000	0.103552	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.061404	
124220	0.000000	0.000000	0.029745	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008104	
124422	0.000000	0.000000	0.026640	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.018466	
124826	0.000000	0.000000	0.096293	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.133312	
125525	0.000000	0.000000	0.018252	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.083197	
126325	0.000000	0.000000	-0.090298	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.248867	
126628	0.000000	0.000000	0.115934	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000434	
127630	0.000000	0.000000	0.020895	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.084080	
127933	0.000000	0.000000	0.140087	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025411	
128127	0.000000	0.000000	0.135535	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.070341	
128632	0.000000	0.000000	0.124851	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.142800	
129028	0.000000	0.000000	0.458044	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.172011	
130013	0.000000	0.000000	0.018215	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018976	
130316	0.000000	0.000000	0.412651	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.161288	
130922	0.000000	0.000000	-0.231433	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.369491	
131217	0.000000	0.000000	0.506418	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000921	
131722	0.000000	0.000000	-0.067042	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.089166	
131924	0.000000	0.000000	0.370174	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.108970	
133019	0.000000	0.000000	0.210574	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.035060	
133625	0.000000	0.000000	0.087852	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.323398	
133827	0.000000	0.000000	0.812918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.118951	
133928	0.000000	0.000000	0.042457	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.041970	
134324	0.000000	0.000000	0.085868	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060278	
135225	0.000000	0.000000	0.239618	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.246777	
135528	0.000000	0.000000	0.168670	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.049454	
135932	0.000000	0.000000	0.245552	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.179812	
136227	0.000000	0.000000	0.186895	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.049401	
136833	0.000000	0.000000	0.230911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.071120	
137027	0.000000	0.000000	0.103519	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.160377	
137128	0.000000	0.000000	0.406439	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.159558	
137633	0.000000	0.000000	-0.040565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.574319	
137936	0.000000	0.000000	0.013678	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.053108	
138231	0.000000	0.000000	0.197468	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.128878	
138534	0.000000	0.000000	0.334062	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.524053	
139233	0.000000	0.000000	0.227188	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.091178	
139637	0.000000	0.000000	0.164199	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030063	
140117	0.000000	0.000000	0.300460	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.042182	
140420	0.000000	0.000000	0.050993	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.074305	
140824	0.000000	0.000000	0.006477	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009960	
140925	0.000000	0.000000	0.082105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003123	
141422	0.000000	0.000000	0.019745	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.052380	
141826	0.000000	0.000000	0.021048	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.111035	
142828	0.000000	0.000000	-0.116264	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.535466	
143325	0.000000	0.000000	0.062651	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.269505	
144832	0.000000	0.000000	0.097019	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.087158	
145834	0.000000	0.000000	-0.052907	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.089838	
146331	0.000000	0.000000	0.197592	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002513	
146432	0.000000	0.000000	-0.112448	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.147454	
147030	0.000000	0.000000	0.093031	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.049539	
147737	0.000000	0.000000	0.264169	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.087198	
148032	0.000000	0.000000	0.235199	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.005626	
148335	0.000000	0.000000	0.229026	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018871	
148840	0.000000	0.000000	0.046016	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.041949	
148941	0.000000	0.000000	0.349483	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.267726	
149337	0.000000	0.000000	0.013123	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.068826	
149539	0.000000	0.000000	-0.309240	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.340533	
149741	0.000000	0.000000	0.010620	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007647	
150423	0.000000	0.000000	0.274262	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.041017	
150524	0.000000	0.000000	0.010833	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.019605	
150625	0.000000	0.000000	0.177013	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005851	
150726	0.000000	0.000000	0.025140	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007768	
151223	0.000000	0.000000	0.231773	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.186142	
151526	0.000000	0.000000	0.198118	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017778	
151627	0.000000	0.000000	0.204028	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.140680	
151728	0.000000	0.000000	0.106426	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.136259	
152831	0.000000	0.000000	0.185252	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.114297	
153025	0.000000	0.000000	-0.071585	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.059066	
153429	0.000000	0.000000	0.051066	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060822	
153833	0.000000	0.000000	0.115056	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.098664	
154431	0.000000	0.000000	-0.070745	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.051991	
154734	0.000000	0.000000	0.030540	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000569	
154835	0.000000	0.000000	0.485506	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.283219	
154936	0.000000	0.000000	0.265618	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.208698	
155231	0.000000	0.000000	0.319822	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.195915	
155635	0.000000	0.000000	0.168143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.209121	
156233	0.000000	0.000000	-0.048089	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.093326	
156637	0.000000	0.000000	0.366728	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.184543	
157336	0.000000	0.000000	0.042493	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.053548	
157437	0.000000	0.000000	0.083750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.043858	
158035	0.000000	0.000000	0.373908	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.112595	
158136	0.000000	0.000000	-0.090302	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.082677	
158540	0.000000	0.000000	-0.268011	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.159480	
159138	0.000000	0.000000	0.027230	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.019131	
159239	0.000000	0.000000	0.243110	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.205083	
159340	0.000000	0.000000	0.195193	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.203481	
159441	0.000000	0.000000	0.064970	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020888	
160123	0.000000	0.000000	0.156999	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001982	
160830	0.000000	0.000000	-0.021226	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.127193	
161327	0.000000	0.000000	0.273810	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.019086	
161630	0.000000	0.000000	0.075102	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050515	
161731	0.000000	0.000000	0.144514	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.117971	
162026	0.000000	0.000000	0.324556	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.036870	
162228	0.000000	0.000000	0.067819	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.311541	
162329	0.000000	0.000000	0.190292	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.037623	
162733	0.000000	0.000000	0.112606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054012	
163129	0.000000	0.000000	0.011745	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.330300	
163331	0.000000	0.000000	0.147440	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.079096	
163432	0.000000	0.000000	0.097242	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.265206	
163836	0.000000	0.000000	0.185367	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007025	
164030	0.000000	0.000000	-0.124392	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.383274	
164131	0.000000	0.000000	0.009629	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.080434	
164939	0.000000	0.000000	0.014016	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.017881	
165032	0.000000	0.000000	0.170507	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004454	
165840	0.000000	0.000000	0.216531	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.107654	
166438	0.000000	0.000000	0.089456	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.280406	
167036	0.000000	0.000000	-0.001616	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.222460	
167743	0.000000	0.000000	0.310158	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.162675	
168341	0.000000	0.000000	-0.159439	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.177548	
169343	0.000000	0.000000	0.275986	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.077464	
169444	0.000000	0.000000	0.142939	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.099403	
170934	0.000000	0.000000	0.029384	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.097476	
171633	0.000000	0.000000	0.144848	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.121378	
172029	0.000000	0.000000	-0.099859	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.102779	
172130	0.000000	0.000000	-0.100457	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.058406	
172332	0.000000	0.000000	0.493194	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.044246	
172534	0.000000	0.000000	-0.135484	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.312036	
172938	0.000000	0.000000	0.283204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.195700	
173334	0.000000	0.000000	0.042273	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.056562	
173435	0.000000	0.000000	0.102818	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.243798	
173536	0.000000	0.000000	-0.052513	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.298402	
173940	0.000000	0.000000	0.117055	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.264616	
175035	0.000000	0.000000	-0.163469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.329447	
175439	0.000000	0.000000	0.242263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.105563	
176542	0.000000	0.000000	0.151484	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.085793	
177645	0.000000	0.000000	0.178364	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.153782	
177746	0.000000	0.000000	0.303502	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.144352	
178142	0.000000	0.000000	0.464121	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.022460	
178748	0.000000	0.000000	0.041159	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.144305	
178849	0.000000	0.000000	0.350903	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.039613	
178950	0.000000	0.000000	0.146235	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.090918	
992774	0.000000	0.000000	0.022965	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.173391	
994273	0.000000	0.000000	-0.079527	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.060816	
