Subject	blocks-to-Action	blocks-to-LTM	blocks-to-Perception	blocks-to-Procedural	blocks-to-WM	faces-to-Action	faces-to-LTM	faces-to-Perception	faces-to-Procedural	faces-to-WM	
100307	0.000000	0.000000	0.340011	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.113884	
100408	0.000000	0.000000	0.377319	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.031501	
101006	0.000000	0.000000	0.310167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.046566	
101107	0.000000	0.000000	0.085623	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.052289	
101309	0.000000	0.000000	0.301793	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001580	
101410	0.000000	0.000000	-0.180603	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.105969	
101915	0.000000	0.000000	0.288018	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.278961	
102008	0.000000	0.000000	-0.070986	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.083248	
102311	0.000000	0.000000	0.282228	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005745	
102816	0.000000	0.000000	0.025519	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011660	
103111	0.000000	0.000000	0.067746	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050427	
103414	0.000000	0.000000	0.009024	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025045	
103515	0.000000	0.000000	0.456998	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004836	
103818	0.000000	0.000000	0.186071	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.070125	
104820	0.000000	0.000000	0.465987	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.103491	
105014	0.000000	0.000000	-0.224555	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.324914	
105115	0.000000	0.000000	-0.197521	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.197551	
105216	0.000000	0.000000	0.161094	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.184585	
106016	0.000000	0.000000	-0.027474	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.280750	
106319	0.000000	0.000000	-0.073873	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.053326	
106521	0.000000	0.000000	0.484510	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.112288	
107321	0.000000	0.000000	0.262008	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.012876	
107422	0.000000	0.000000	0.386728	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.407489	
108121	0.000000	0.000000	0.140830	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.079894	
108323	0.000000	0.000000	0.028547	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.053024	
108525	0.000000	0.000000	0.096237	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001021	
