Subject	Action-to-Action	Action-to-LTM	Action-to-Perception	Action-to-Procedural	Action-to-WM	LTM-to-Action	LTM-to-LTM	LTM-to-Perception	LTM-to-Procedural	LTM-to-WM	Perception-to-Action	Perception-to-LTM	Perception-to-Perception	Perception-to-Procedural	Perception-to-WM	Procedural-to-Action	Procedural-to-LTM	Procedural-to-Perception	Procedural-to-Procedural	Procedural-to-WM	WM-to-Action	WM-to-LTM	WM-to-Perception	WM-to-Procedural	WM-to-WM	
106016	0.001632	0.000000	-0.104988	0.000000	0.000000	0.000000	0.002665	0.000000	0.000000	0.013245	-0.046314	0.000000	-0.368887	0.000000	-0.386738	0.000000	0.000000	0.000000	0.004958	0.036154	-0.032861	-0.013878	0.722281	-0.072873	0.016155	
106319	0.004225	0.000000	-0.025316	0.000000	0.000000	0.000000	-0.259589	0.000000	0.000000	-0.360230	0.127758	0.000000	-0.244863	0.000000	0.350365	0.000000	0.000000	0.000000	-0.220013	-0.247242	0.025066	0.384480	0.829928	0.314803	-0.117257	
106521	-0.021191	0.000000	-0.247964	0.000000	0.000000	0.000000	-0.125060	0.000000	0.000000	-0.064973	0.118493	0.000000	0.005627	0.000000	0.314223	0.000000	0.000000	0.000000	-0.070832	-0.039564	0.236197	0.359363	-0.694168	0.317028	-0.014028	
107321	-0.085111	0.000000	0.106079	0.000000	0.000000	0.000000	-0.004645	0.000000	0.000000	0.099150	0.214193	0.000000	0.046635	0.000000	-0.116574	0.000000	0.000000	0.000000	-0.042500	0.383875	0.413712	0.096608	0.563088	0.355262	-0.245330	
107422	-0.191981	0.000000	-0.664111	0.000000	0.000000	0.000000	-0.256408	0.000000	0.000000	-0.244474	-0.154082	0.000000	-0.368929	0.000000	0.673795	0.000000	0.000000	0.000000	-0.124682	-0.212296	0.520770	0.403179	-0.189100	0.466787	-0.128263	
108121	-0.133006	0.000000	-0.308153	0.000000	0.000000	0.000000	-0.006036	0.000000	0.000000	-0.017448	0.230598	0.000000	-0.023335	0.000000	0.296331	0.000000	0.000000	0.000000	-0.031279	0.129070	-0.211696	-0.025651	0.202367	0.120581	-0.136535	
108323	-0.186261	0.000000	-0.611425	0.000000	0.000000	0.000000	-0.000164	0.000000	0.000000	0.005084	-0.167122	0.000000	-0.529850	0.000000	-0.270748	0.000000	0.000000	0.000000	-0.117579	0.361071	0.147605	0.016325	0.469015	0.431568	-0.184778	
108525	-0.093787	0.000000	0.213429	0.000000	0.000000	0.000000	-0.238315	0.000000	0.000000	0.218369	0.042745	0.000000	-0.146180	0.000000	-0.040701	0.000000	0.000000	0.000000	-0.154402	0.203541	0.295072	0.449975	0.242002	0.379339	-0.166760	
108828	-0.031569	0.000000	0.246494	0.000000	0.000000	0.000000	0.000480	0.000000	0.000000	-0.009196	0.133775	0.000000	-0.182523	0.000000	-0.123357	0.000000	0.000000	0.000000	-0.140854	-0.361411	0.183589	-0.018022	0.467622	-0.380843	-0.166323	
109123	-0.095008	0.000000	-0.439004	0.000000	0.000000	0.000000	-0.058366	0.000000	0.000000	0.032493	0.003856	0.000000	-0.091744	0.000000	-0.071423	0.000000	0.000000	0.000000	-0.004151	-0.001166	-0.356509	-0.250814	0.682613	0.086074	0.008615	
