Subject	blocks-to-Action	blocks-to-LTM	blocks-to-Perception	blocks-to-Procedural	blocks-to-WM	social-to-Action	social-to-LTM	social-to-Perception	social-to-Procedural	social-to-WM	
100307	0.000000	0.000000	0.343772	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.111107	
100408	0.000000	0.000000	0.450778	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.015354	
101006	0.000000	0.000000	0.312079	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.112453	
101107	0.000000	0.000000	0.087158	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.052275	
101309	0.000000	0.000000	0.085494	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.044282	
101410	0.000000	0.000000	0.245007	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.058512	
101915	0.000000	0.000000	0.193779	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.073614	
102008	0.000000	0.000000	0.323679	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.069183	
102311	0.000000	0.000000	0.154544	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.095162	
102816	0.000000	0.000000	0.059400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.037235	
103111	0.000000	0.000000	0.124351	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025389	
103414	0.000000	0.000000	0.244745	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025811	
103515	0.000000	0.000000	0.184831	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.088720	
103818	0.000000	0.000000	0.190934	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.042714	
104820	0.000000	0.000000	0.443521	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.015166	
105014	0.000000	0.000000	0.255943	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028163	
105115	0.000000	0.000000	0.412799	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.037122	
105216	0.000000	0.000000	0.581334	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003425	
106016	0.000000	0.000000	0.161726	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054609	
106319	0.000000	0.000000	0.382335	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013600	
106521	0.000000	0.000000	0.129711	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.024373	
