WM	Subject	allstim-to-Action	allstim-to-LTM	allstim-to-Perception	allstim-to-Procedural	allstim-to-WM	2back-to-Action	2back-to-LTM	2back-to-Perception	2back-to-Procedural	2back-to-WM
WM	100307	0.000000	0.000000	1.232301	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.168144
WM	100408	0.000000	0.000000	0.395811	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010362
WM	101006	0.000000	0.000000	1.361349	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.034100
WM	101107	0.000000	0.000000	0.012558	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000553
WM	101309	0.000000	0.000000	0.003480	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002381
WM	101410	0.000000	0.000000	0.279296	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017295
WM	101915	0.000000	0.000000	2.067036	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.079641
WM	102008	0.000000	0.000000	0.186136	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015346
WM	102311	0.000000	0.000000	0.232875	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001179
WM	102816	0.000000	0.000000	0.541622	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.053516
WM	103111	0.000000	0.000000	0.668188	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.214302
WM	103414	0.000000	0.000000	0.005678	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006047
WM	103818	0.000000	0.000000	0.038150	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005723
WM	104820	0.000000	0.000000	0.579171	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.059406
WM	105014	0.000000	0.000000	0.585966	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.062114
WM	105115	0.000000	0.000000	0.601142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.179298
